vrn,job_card_no,service_date,service_classification,mileage_reading,service_advisor,job_description,total_bill,source_file,source_row,source_field,merge_rule,confidence_score,validation_status,merge_timestamp
KA32AB9280,JC-DevAus-AA1-2627-000985,13-06-2026,General Repair,0,Shashikumar,,0.0,JC_Backdate_June2026.csv,1,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
MH12WX7491,JC-DevAus-AA1-2627-000762,03-06-2026,General Repair,0,Shashikumar,,3504.0,JC_Backdate_June2026.csv,2,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB5725,JC-DevAus-AA1-2627-000984,13-06-2026,General Repair,0,Shashikumar,,6036.51,JC_Backdate_June2026.csv,3,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AC0713,JC-DevAus-AA1-2627-000996,13-06-2026,General Repair,0,Mustafa,,1935.0,JC_Backdate_June2026.csv,359,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AA4414,JC-DevAus-AA1-2627-000990,13-06-2026,General Repair,0,Mustafa,,29138.31,JC_Backdate_June2026.csv,360,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AA5120,JC-DevAus-AA1-2627-000997,13-06-2026,General Repair,0,Shashikumar,,0.0,JC_Backdate_June2026.csv,361,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB7784,JC-DevAus-AA1-2627-000988,13-06-2026,General Repair,0,Mustafa,,0.0,JC_Backdate_June2026.csv,362,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
MH12WX2417,JC-DevAus-AA1-2627-000993,13-06-2026,General Repair,0,Shashikumar,,0.0,JC_Backdate_June2026.csv,363,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
MH12WX7484,JC-DevAus-AA1-2627-000981,13-06-2026,General Repair,0,Shashikumar,,321.2,JC_Backdate_June2026.csv,364,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB7813,JC-DevAus-AA1-2627-000560,13-06-2026,General Repair,0,Mustafa,,11251.25,JC_Backdate_June2026.csv,365,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA51AK9153,JC-DevAus-AA1-2627-000991,13-06-2026,General Repair,0,Shashikumar,,24469.14,JC_Backdate_June2026.csv,366,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB2307,JC-DevAus-AA1-2627-000983,13-06-2026,General Repair,0,Mustafa,,15500.48,JC_Backdate_June2026.csv,367,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB0946,JC-DevAus-AA1-2627-000995,13-06-2026,General Repair,0,Shashikumar,,1910.35,JC_Backdate_June2026.csv,368,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AC0252,JC-DevAus-AA1-2627-000989,13-06-2026,General Repair,0,Shashikumar,,0.0,JC_Backdate_June2026.csv,369,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA32AB9349,JC-DevAus-AA1-2627-000986,13-06-2026,General Repair,0,Mustafa,,0.0,JC_Backdate_June2026.csv,370,J C NO,Merged Timeline Entry,84.0,VALID,2026-07-09 22:31:15
KA34A8544,JC-DevAus-AA1-2627-000675,01-06-2026,General Repair,0,Mustafa,,10127.72,JC_Backdate_June2026.csv,4,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32AB9417,JC-DevAus-AA1-2627-000805,01-06-2026,General Repair,0,Shashikumar,,10927.91,JC_Backdate_June2026.csv,5,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32AC0666,JC-DevAus-AA1-2627-000779,01-06-2026,General Repair,0,Mustafa,,4590.0,JC_Backdate_June2026.csv,6,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32G1551,JC-DevAus-AA1-2627-000802,01-06-2026,General Repair,0,Mustafa,,29180.29,JC_Backdate_June2026.csv,7,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32AC1121,JC-DevAus-AA1-2627-000811,01-06-2026,General Repair,0,Mustafa,,0.0,JC_Backdate_June2026.csv,8,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32AB0531,JC-DevAus-AA1-2627-000803,01-06-2026,General Repair,0,Mustafa,,7567.55,JC_Backdate_June2026.csv,9,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
KA32AA7996,JC-DevAus-AA1-2627-000814,01-06-2026,General Repair,0,Shashikumar,,1180.0,JC_Backdate_June2026.csv,10,J C NO,Merged Timeline Entry,86.0,VALID,2026-07-09 22:31:15
