"File","Category","Action","Reason"
"alter_stock.ts","G","KEEP","Unknown"
"alter_stock2.ts","G","KEEP","Unknown"
"api_server.ts","A","MOVE (scripts/)","Reusable Engineering Utility"
"append_schema.cjs","D","DELETE","One-Time Patch/Script"
"apply-design-system.js","G","KEEP","Unknown"
"apply_schema.cjs","D","DELETE","One-Time Patch/Script"
"ass2a_security.test.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"ass2a_security_validation.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"audit_db_inventory.cjs","E","DELETE","Debug Utility"
"audit_dms_data.ts","E","DELETE","Debug Utility"
"audit_dms_tables.ts","E","DELETE","Debug Utility"
"audit_indexes_fks.cjs","E","DELETE","Debug Utility"
"audit_service_tables.ts","E","DELETE","Debug Utility"
"audit_tables.ts","E","DELETE","Debug Utility"
"audit_table_structures.cjs","E","DELETE","Debug Utility"
"backup_employees.cjs","G","KEEP","Unknown"
"build_audit_md.cjs","G","KEEP","Unknown"
"capture_ka32aa4792.cjs","E","DELETE","Debug Utility"
"capture_ui.cjs","E","DELETE","Debug Utility"
"certify_railway_dump.cjs","G","KEEP","Unknown"
"cert_auth_apis.ts","G","KEEP","Unknown"
"cert_db_audit.ts","G","KEEP","Unknown"
"cert_db_audit2.ts","G","KEEP","Unknown"
"cert_live_verification.ts","G","KEEP","Unknown"
"cert_users_schema.ts","G","KEEP","Unknown"
"cert_users_security.ts","G","KEEP","Unknown"
"check_admin_users.ts","E","DELETE","Debug Utility"
"check_alert_logs_schema.cjs","E","DELETE","Debug Utility"
"check_alert_log_fk.cjs","E","DELETE","Debug Utility"
"check_all_raw.cjs","E","DELETE","Debug Utility"
"check_braces.ts","E","DELETE","Debug Utility"
"check_brackets.cjs","E","DELETE","Debug Utility"
"check_clean_counts.cjs","E","DELETE","Debug Utility"
"check_columns.cjs","E","DELETE","Debug Utility"
"check_create_table.cjs","E","DELETE","Debug Utility"
"check_db.ts","E","DELETE","Debug Utility"
"check_db_alerts.cjs","E","DELETE","Debug Utility"
"check_db_columns.cjs","E","DELETE","Debug Utility"
"check_db_history.cjs","E","DELETE","Debug Utility"
"check_db_processes.cjs","E","DELETE","Debug Utility"
"check_db_sample.cjs","E","DELETE","Debug Utility"
"check_db_tables.cjs","E","DELETE","Debug Utility"
"check_db_users.ts","E","DELETE","Debug Utility"
"check_db_views.cjs","E","DELETE","Debug Utility"
"check_employees_schema.cjs","E","DELETE","Debug Utility"
"check_emp_keys.cjs","E","DELETE","Debug Utility"
"check_fk_violations.cjs","E","DELETE","Debug Utility"
"check_history_tables.cjs","E","DELETE","Debug Utility"
"check_importer_written.cjs","E","DELETE","Debug Utility"
"check_import_profiles.ts","E","DELETE","Debug Utility"
"check_jcm_schema.cjs","E","DELETE","Debug Utility"
"check_jc_schema.cjs","E","DELETE","Debug Utility"
"check_local_db.cjs","E","DELETE","Debug Utility"
"check_locks.cjs","E","DELETE","Debug Utility"
"check_mustafa.cjs","E","DELETE","Debug Utility"
"check_non_null_reg.cjs","E","DELETE","Debug Utility"
"check_original_sh.cjs","E","DELETE","Debug Utility"
"check_reconciliation.cjs","E","DELETE","Debug Utility"
"check_schema_differences.cjs","E","DELETE","Debug Utility"
"check_sh_counts.cjs","E","DELETE","Debug Utility"
"check_sh_types.cjs","E","DELETE","Debug Utility"
"check_sql_records.cjs","E","DELETE","Debug Utility"
"check_user_schemas.cjs","E","DELETE","Debug Utility"
"check_vin_rule.ts","E","DELETE","Debug Utility"
"check_warranty_vehicle.cjs","E","DELETE","Debug Utility"
"clean_duplicate_etd.ts","D","DELETE","One-Time Patch/Script"
"clear_gcp_tables.cjs","D","DELETE","One-Time Patch/Script"
"compare_databases.cjs","G","KEEP","Unknown"
"count_active_jobs.cjs","G","KEEP","Unknown"
"count_gcp_db.cjs","G","KEEP","Unknown"
"count_rows.cjs","G","KEEP","Unknown"
"cr001_audit_data.json","F","DELETE","Generated Output"
"cr001_business_validation.cjs","D","DELETE","One-Time Patch/Script"
"cr001_business_validation_v2.cjs","D","DELETE","One-Time Patch/Script"
"cr001_diagnostic.cjs","E","DELETE","Debug Utility"
"cr001_role_results.json","F","DELETE","Generated Output"
"cr001_snapshot_generator.cjs","D","DELETE","One-Time Patch/Script"
"cr001_snapshot_stats.json","F","DELETE","Generated Output"
"cr001_step0_step1_audit.cjs","D","DELETE","One-Time Patch/Script"
"cr001_step2_canonical.cjs","D","DELETE","One-Time Patch/Script"
"cr001_step3_roles.cjs","D","DELETE","One-Time Patch/Script"
"cr001_step4_links.cjs","D","DELETE","One-Time Patch/Script"
"create_phase6_tables.ts","G","KEEP","Unknown"
"create_staging_tables.cjs","G","KEEP","Unknown"
"create_tables.ts","G","KEEP","Unknown"
"create_wh.ts","G","KEEP","Unknown"
"db_importer.cjs","C","MOVE (maintenance/)","Migration Utility"
"db_stress_test.ts","G","KEEP","Unknown"
"debug_gcp_counts.cjs","E","DELETE","Debug Utility"
"debug_lines.cjs","E","DELETE","Debug Utility"
"debug_live_endpoints.ts","E","DELETE","Debug Utility"
"debug_vehicle_birth.ts","E","DELETE","Debug Utility"
"deployment_gate.ts","G","KEEP","Unknown"
"describe_service_invoices.ts","G","KEEP","Unknown"
"drop_fip.ts","D","DELETE","One-Time Patch/Script"
"drop_remaining_fk_constraints.cjs","D","DELETE","One-Time Patch/Script"
"dry_run_migration.ts","C","MOVE (maintenance/)","Migration Utility"
"dump_employee_lists.cjs","G","KEEP","Unknown"
"Employee_Mismatch_Report.md","F","DELETE","Generated Output"
